Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes  and hyperlipidemia is brought to the emergency department after left sided weakness and expressive aphasia that begins 2 hours prior to arrival. Her stroke scale is 5. Non-contrast head ct shows no intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?",Intravenous tenecteplase is generally considered more effective than alteplase in acute ischemic stroke due to its higher efficacy and lower risk of bleeding complications.,0.0,"WRONG: Guidelines endorse either alteplase or tenecteplase within 4.5 hours, with tenecteplase shown to be noninferior, not superior. The student's claim of higher efficacy and lower bleeding risk contradicts the reference."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset of left facial droop and slurred speech. His NIH Stroke Scale score is 4, driven primarily by aphasia, which is felt to be a disabling deficit. Noncontrast head ct shows no intracranial hemorrhage. What is the most appropriate next step?","Administering intravenous tissue plasminogen activator (tPA) within the next 60 minutes is the most appropriate next step given the patient's presentation and imaging findings, as it may improve his chances of regaining functional independence.",1.0,"CORRECT: The student recommends prompt IV tPA for a disabling ischemic stroke within the treatment window after hemorrhage is excluded, which aligns with guidelines. While they don’t mention advanced imaging, their recommendation matches the key action."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided weakness and neglect upon awakening. His last known well was approximately 10 hours earlier and his NIH stroke scale score is 4. Noncontrast head CT shows no intracranial hemorrhage. MRI of the brain shows restricted diffusions through the right middle cerebral artery on diffusion weighted imaging. However, there is no corresponding signal change on fluid-attenuated inversion recovery. What is the most appropriate next step?",Administering IV alteplase within 4.5 hours of symptom onset is indicated given the patient's presentation and MRI findings consistent with acute ischemic stroke in a large vessel territory.,0.5,"PARTIALLY CORRECT: Recommending IV thrombolysis is appropriate, but the justification is incorrect. In this wake-up/unknown-onset stroke (>4.5 hours since last-known-well), treatment should be based on advanced imaging criteria (DWI–FLAIR mismatch), not the standard 4.5-hour window, and the student does not mention this extended-window criterion."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. Sensory testing reveals isolated decreased pinprick sensation over her face and hand. Her NIH Stroke Scale was a 1. Noncontrast head CT shows no intracranial hemorrhage. WHat is the recommended course of treatment for this patient?","The recommended course of treatment for this patient, given her presentation consistent with isolated facial numbness without other neurological deficits, would be to administer IV tissue plasminogen activator (tPA) within 4.5 hours of symptom onset, as she meets the criteria for acute ischemic stroke treatment despite having a low NIH Stroke Scale score.",0.0,"WRONG. For non-disabling, isolated sensory deficits within 4.5 hours, thrombolysis has not shown benefit and is not recommended; dual antiplatelet therapy is preferred. The student incorrectly recommends IV tPA."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a National Institutes of Health Stroke Scale (NIHSS) score of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","The patient should be transported directly to the comprehensive thrombectomy-capable stroke center, as the potential benefits of mechanical thrombectomy outweigh the increased transportation time and distance.",0.0,"WRONG: The reference answer addresses that preoperative tirofiban before EVT provides no benefit, whereas the student discusses transport destination. The student’s response does not include the key factual point about tirofiban and is unrelated to the reference."
"A 72 year old woman presents to the ED 4 hours after sudden onset of left sided weakness, aphasia, and rightward gaze deviation. On examination she has global aphasia and his NIH stroke Scale score is 19. Noncontrast head CT shows early ischemic changes in the right MCA territory. CT angiography shows an occlusion of the proximal right MCA  M1 segment. CT perfusion shows a large ischemic core with limited hypoperfused tissue. Given the large ischemic core, can endovascular thrombectomy be performed?","Endovascular thrombectomy is generally not recommended in cases where the CT perfusion shows a large ischemic core, as it may not significantly improve outcomes due to the extensive brain damage already present.",0.0,"WRONG. Current evidence supports performing EVT in selected patients even with large ischemic cores, showing potential benefit. The student’s statement that EVT is generally not recommended contradicts updated guidelines and trial data."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of ride-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIH Stroke Scale score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. The patient is treated with intravenous thrombolysis and the stroke team debates whether adding an adjuvant antithrombotic agent might improve clinical outcomes. What is the most appropriate management decision?","The addition of an adjuvant antithrombotic agent, such as aspirin or clopidogrel, to intravenous thrombolysis in this patient with acute ischemic stroke and no large vessel occlusion is not recommended due to increased risk of bleeding complications.",1.0,"CORRECT: The student concludes that adding adjuvant antithrombotic therapy to IV thrombolysis is not recommended, which aligns with the reference. Although they cite aspirin/clopidogrel rather than argatroban/eptifibatide, the key management decision—do not add adjuvant antithrombotics—is the same."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/d and his stolic blood pressure ranges from 155 to 165 mm Hg.  Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","According to current stroke guidelines, the patient's blood glucose should be maintained between 140-180 mg/dL to prevent both hyperglycemia-induced cerebral edema and hypoglycemic complications, while his blood pressure should be lowered to a target systolic blood pressure of less than 140 mm Hg.",1.0,"CORRECT: The student appropriately advises against intensive glucose control (80–130 mg/dL) and targets 140–180 mg/dL, which aligns with the updated AIS guidelines on glycemic management."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIH stroke scale score is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, m1 segment. How should this patient’s stroke be managed according to current guidelines?","This patient's acute ischemic stroke should be managed with immediate administration of IV alteplase, a thrombolytic agent, within 4.5 hours of symptom onset, as per the American Heart Association/American Stroke Association guidelines for pediatric stroke management.",0.0,"WRONG: Current pediatric AIS guidelines emphasize consideration of endovascular thrombectomy for large-vessel occlusion in select children, not routine IV alteplase. The student omits thrombectomy and incorrectly recommends tPA as standard care."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"The mobile stroke unit (MSU) is preferred in this scenario because it has on-board CT scanning capabilities, allowing for rapid diagnosis of acute ischemic stroke and administration of thrombolytic therapy within the first 60 minutes of symptom onset, which can significantly improve outcomes.",1.0,"CORRECT: The student correctly identifies the mobile stroke unit as preferred and explains its advantage of rapid imaging and thrombolysis, consistent with guideline-supported benefits over conventional EMS."
