Q,A
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Current evidence from recent trials, including the AcT trial and meta-analyses, suggests that intravenous tenecteplase (typically at a dose of 0.25 mg/kg) is at least non-inferior to alteplase for acute ischemic stroke and may offer practical advantages such as single-bolus administration, but definitive superiority of tenecteplase over alteplase has not been conclusively established, so while tenecteplase is increasingly favored due to its ease of administration and comparable efficacy, both agents remain acceptable options for this patient presenting within the treatment window with a moderate-severity stroke."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","The most appropriate next step in management is intravenous alteplase (IV thrombolysis), because this patient presents within the 4.5-hour treatment window (90 minutes from symptom onset) with a clinically significant acute ischemic stroke manifesting as Broca's aphasia (nonfluent aphasia with preserved comprehension, impaired naming, and impaired sentence formation) likely from a left middle cerebral artery territory infarction, and although his NIHSS score of 4 might seem mild, the substantial language deficit causing inability to communicate needs represents a disabling deficit that warrants treatment, as current AHA/ASA guidelines recommend IV alteplase for eligible patients within 4.5 hours of symptom onset when there is a measurable neurological deficit that is not considered minor and nondisabling, and the noncontrast CT has already excluded intracranial hemorrhage."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","The presence of a DWI-FLAIR mismatch (positive DWI with no corresponding FLAIR signal change) suggests that the ischemic injury is likely less than 4.5 hours old despite the prolonged last known well time, and based on the WAKE-UP trial, the most appropriate next step is to administer intravenous alteplase (IV thrombolysis), as this DWI-FLAIR mismatch pattern identifies patients with wake-up stroke who can benefit from thrombolytic therapy within a physiologically determined time window even when the exact onset time is unknown."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","This patient, presenting within 2 hours of symptom onset with an NIHSS of 3 and no intracranial hemorrhage on CT, has what would traditionally be classified as a ""minor stroke,"" and while IV alteplase (or tenecteplase) is FDA-approved and can be considered for minor but disabling strokes, the recent TEMPO-2 trial showed that tenecteplase was not superior to antiplatelet therapy for minor nondisabling stroke, and given that her deficits — mild facial droop, subtle weakness (4+/5), and sensory changes — could be considered non-disabling, current evidence from TEMPO-2 as well as guidelines would support treating her with antiplatelet therapy (such as dual antiplatelet therapy with aspirin and clopidogrel) rather than IV tenecteplase, reserving thrombolysis for patients whose minor stroke symptoms are clearly disabling to their daily function or occupation."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","This patient, with a high NIHSS score of 14 suggesting a likely large vessel occlusion (LVO), and with symptom onset very recent (within 20 minutes), should be transported directly to the closest primary stroke center 10 minutes away so that intravenous alteplase can be initiated as rapidly as possible, with subsequent rapid transfer (""drip-and-ship"") to the comprehensive thrombectomy-capable center if LVO is confirmed, because current guidelines (AHA/ASA 2019) recommend that when the additional transport time to a thrombectomy-capable center exceeds 15 minutes compared to the nearest IV tPA-capable facility, patients should first go to the closer center to minimize time to thrombolytic therapy, which remains the most time-sensitive intervention."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","The most appropriate next step in management is intravenous alteplase (IV thrombolysis) administered immediately (as she is within the 4.5-hour window) followed by emergent endovascular mechanical thrombectomy of the basilar artery occlusion, because this patient presents with a large vessel occlusion of the posterior circulation with a severe deficit (NIHSS 28), favorable perfusion imaging showing a small core with a large penumbra of salvageable tissue, and current evidence—including the ATTENTION and BAOCHE trials—supports endovascular thrombectomy for basilar artery occlusion within 24 hours, particularly when there is a mismatch between infarct core and ischemic penumbra, while IV thrombolysis should be initiated without delay as a bridging therapy given she is still within the eligible time window."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","The most appropriate management decision is to **not administer adjuvant antiplatelet or antithrombotic therapy within the first 24 hours after IV thrombolysis**, because current AHA/ASA guidelines recommend delaying initiation of antithrombotic agents (such as aspirin or heparin) for at least 24 hours following IV alteplase or tenecteplase administration due to the significantly increased risk of symptomatic intracranial hemorrhage, and studies such as the IST-3 and other trials have shown that early adjunctive antithrombotic therapy after thrombolysis does not improve neurologic outcomes but does increase bleeding complications; therefore, a follow-up noncontrast CT should be obtained at 24 hours to rule out hemorrhagic transformation before initiating aspirin or other antithrombotic agents."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Based on current AHA/ASA guidelines for acute ischemic stroke management, this patient's hyperglycemia should be treated with insulin therapy to maintain blood glucose levels in the range of 140–180 mg/dL (since persistent hyperglycemia above 180 mg/dL in the first 24 hours is associated with worse outcomes and should be corrected while avoiding hypoglycemia below 60 mg/dL), and his blood pressure of 155–165 mm Hg systolic should be allowed to remain at its current level without aggressive lowering, as guidelines recommend maintaining blood pressure below 180/105 mmHg in the first 24 hours after reperfusion therapy (IV alteplase or endovascular treatment), and since his readings are already below this threshold, no antihypertensive intervention is required unless there is a specific indication such as aortic dissection, hypertensive encephalopathy, or acute cardiac failure."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","According to current AHA/ASA guidelines, this 12-year-old presenting within the 4.5-hour window with a large vessel occlusion (left MCA M1) and an NIHSS of 11 should receive intravenous alteplase (0.9 mg/kg, maximum 90 mg, with 10% as bolus and the remainder infused over 60 minutes) and be urgently evaluated for mechanical thrombectomy, as the Thrombolysis in Pediatric Stroke (TIPS) trial and subsequent guideline updates support the use of IV tPA in pediatric stroke patients presenting within the treatment window when hemorrhage has been excluded, and strong evidence from adult trials (such as MR CLEAN, ESCAPE, EXTEND-IA, SWIFT PRIME, and REVASCAT) extrapolated to pediatric practice—along with growing pediatric case series—supports endovascular thrombectomy for large vessel occlusions in the anterior circulation, making the combined approach of IV thrombolysis plus mechanical thrombectomy the most appropriate management strategy in this clinical scenario."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"A mobile stroke unit (MSU) is preferred over conventional emergency services because it enables prehospital CT imaging, earlier diagnosis, and faster initiation of intravenous thrombolysis, thereby reducing door-to-needle times and improving clinical outcomes in acute ischemic stroke."
