Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Intravenous tenecteplase is increasingly considered a more effective thrombolytic treatment than alteplase due to its non-inferiority or potential superiority in functional outcomes, higher rates of reperfusion, and simpler single-bolus administration.",0.0,"WRONG: Guidelines state tenecteplase is non-inferior to alteplase, with both recommended within 4.5 hours. The student asserts tenecteplase is more effective/superior, which contradicts the reference."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","The most appropriate next step in management is to administer intravenous alteplase because the patient presents with acute ischemic stroke symptoms within the 4.5-hour therapeutic window, has a disabling neurological deficit (aphasia), and no contraindications for thrombolysis were identified on noncontrast head CT.",1.0,"CORRECT: The student recommends immediate IV thrombolysis (alteplase) within the 4.5-hour window for a disabling aphasia with no hemorrhage on CT, aligning with guidelines. This captures the key management step from the reference answer."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Administer intravenous thrombolysis, as the DWI-FLAIR mismatch in a wake-up stroke patient suggests a stroke onset within the therapeutic window for thrombolytic therapy despite the extended last known well time.",1.0,CORRECT. The student identifies the DWI-FLAIR mismatch as advanced imaging criteria supporting extended-window IV thrombolysis in a wake-up stroke. This aligns with guidelines that allow thrombolysis in selected patients with unknown or extended onset using such imaging selection.
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","This patient should be treated with IV tenecteplase because she presents within the 4.5-hour therapeutic window for acute ischemic stroke, has no intracranial hemorrhage on CT, and exhibits disabling neurological deficits despite a mild NIHSS score of 3.",0.0,"WRONG: The guideline-supported approach for minor noncardioembolic stroke (NIHSS ≤5) is short-course dual antiplatelet therapy, not IV thrombolysis. The student’s recommendation of IV tenecteplase contradicts the reference answer."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Prehospital transport should be directed to the comprehensive thrombectomy-capable stroke center, despite the longer transport time, because the patient's high NIHSS score of 14 strongly suggests a large vessel",0.0,WRONG. Guidelines indicate transport to the closer primary stroke center when systems are well coordinated; direct transport to a more distant thrombectomy-capable center does not improve outcomes. The student recommends the opposite based on NIHSS.
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","Given the acute basilar artery occlusion, favorable imaging, and presentation within the therapeutic window, the most appropriate next step is to administer intravenous thrombolysis while simultaneously preparing for endovascular thrombectomy.",1.0,CORRECT: The student identifies endovascular thrombectomy as the key intervention and appropriately includes IV thrombolysis as bridging therapy within the time window. This aligns with guidelines recommending EVT for basilar artery occlusion with favorable imaging.
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?",The most appropriate management decision is to withhold any adjuvant antithrombotic agents for at least 24 hours after IV thrombolysis due to the significantly increased risk of symptomatic intracranial hemorrhage.,1.0,"CORRECT. The student recommends withholding adjuvant antithrombotic agents after IV thrombolysis, aligning with the guideline that such agents are not recommended. Although the rationale differs (emphasizing hemorrhage risk rather than lack of benefit), the management decision matches the reference."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Blood glucose should be managed to a target range of 140-180 mg/dL to prevent hyperglycemia, while blood pressure should be maintained below 180/105 mmHg given the patient received reperfusion therapy.",0.5,"PARTIALLY CORRECT. The glucose target of 140–180 mg/dL is consistent with avoiding intensive control. However, the blood pressure recommendation is incomplete—guidelines favor a systolic target of 140–180 mm Hg and advise against lowering below 140 mm Hg even after reperfusion; stating only <180/105 mm Hg omits the lower bound."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","This patient's acute ischemic stroke, caused by a left middle cerebral artery M1 segment occlusion within 90 minutes of symptom onset, should be managed with endovascular thrombectomy, which is a reasonable",0.5,"PARTIALLY CORRECT: The student correctly identifies endovascular thrombectomy as an appropriate consideration for pediatric large vessel occlusion. However, they omit the guideline caveat that it should be considered in experienced centers and under specialist management, and their phrasing implies definitive treatment rather than consideration."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"The Mobile Stroke Unit (MSU) is preferred because it facilitates earlier diagnosis and initiation of time-sensitive treatments like thrombolysis, which significantly improves outcomes for acute ischemic stroke patients.",1.0,"CORRECT: The student correctly identifies the MSU as preferred and explains it enables earlier diagnosis and thrombolysis, matching the guideline rationale."
"A 54-year-old man with a history of hypertension presents to the emergency department 3 hours after sudden onset of left-sided weakness, gaze deviation, and decreased level of alertness. On examination, he has dense left hemiplegia with a NIHSS of 22. Noncontrast head CT shows early ischemic changes involving more than one half of the right middle cerebral artery territory. Should intravenous glibenclamide be initiated?","No, intravenous glibenclamide should not be initiated because it is an investigational drug for acute ischemic stroke and is not currently recommended for routine clinical use outside of research settings.",1.0,"CORRECT. The student correctly concludes that intravenous glibenclamide should not be initiated and is not recommended for routine use. Although the rationale cites investigational status rather than lack of efficacy, the recommendation aligns with guidelines."
"A 73-year-old woman is admitted after an acute ischemic stroke involving the right hemispheric region. After initial stabilization, she is noted to have difficulty swallowing, frequent coughing during oral intake, and a wet-sounding voice. A bedside swallow evaluation is abnormal, and a subsequent videofluoroscopic swallow study confirms moderate oropharyngeal dysphagia with aspiration of thin liquids. According to current stroke guidelines, how should dysphagia be managed in this patient?","Management for this patient's dysphagia should involve maintaining NPO status for thin liquids, providing alternative nutrition and hydration, and initiating individualized swallow therapy with diet modification, such as thickened liquids, as guided by speech-language pathology to prevent further aspiration.",0.5,"PARTIALLY CORRECT. The student outlines general dysphagia management (NPO for thin liquids, alternative nutrition, SLP-guided therapy and thickened liquids), which is reasonable but misses the key guideline-recommended intervention: pharyngeal electrical stimulation to reduce dysphagia severity and aspiration risk."
"A 69-year-old man with a history of hypertension and atrial fibrillation presents to the emergency department 2 hours after sudden onset of right-sided weakness and aphasia. On examination, he has dense right hemiparesis and expressive aphasia, with a NIHSS of 17. Noncontrast head CT shows no intracranial hemorrhage, and CT angiography reveals an occlusion of the left proximal middle cerebral artery, M1 segment. He is an appropriate candidate for endovascular thrombectomy (EVT). How should the use of tirofiban be approached in this patient?",Tirofiban should generally be avoided in this patient due to the lack of established benefit and increased risk of hemorrhagic complications when used in conjunction with endovascular thrombectomy and other antithrombotic agents.,1.0,"CORRECT. The student states tirofiban should be avoided due to lack of established benefit, aligning with the guideline that preoperative tirofiban before EVT is not recommended. The mention of hemorrhagic risk does not contradict the reference."
A 7-year-old girl with no significant past medical history is brought to the ED by her parents after sudden onset of right arm weakness and slurred speech that began 90 minutes earlier. What stroke screening tools should be used?,"The Pediatric NIH Stroke Scale (PedNIHSS) should be used to quantify neurological deficits in this 7-year-old girl, as it is a validated and adapted tool for assessing stroke severity in children.",0.5,PARTIALLY CORRECT: The student correctly identifies PedNIHSS but omits PedRACE and does not note that adult stroke tools are unreliable in children. The reference answer specifies using pediatric-adapted tools including both PedNIHSS and PedRACE.
"A 67-year-old woman with a history of hypertension and hyperlipidemia presented to the emergency department 18 hours after sudden onset of left arm weakness and mild slurred speech that resolved within 30 minutes. On arrival, her neurologic examination shows only subtle left hand clumsiness. Her NIHSS score is 3. Brain MRI shows a small acute infarct in the right frontal cortex. CT angiography shows 70% stenosis of the right internal carotid artery. Cardiac monitoring and echocardiography show no evidence of atrial fibrillation or other cardioembolic source. She did not receive intravenous thrombolysis. How should this patient’s antiplatelet therapy be managed?","This patient should be started on dual antiplatelet therapy with aspirin and clopidogrel for 21-30 days, given her minor acute ischemic stroke (NIHSS 3) and presentation within 24 hours of symptom onset, followed by single antiplatelet therapy.",1.0,"CORRECT: The student recommends aspirin plus clopidogrel for about 21 days followed by single antiplatelet therapy, which aligns with guidelines for minor noncardioembolic stroke without thrombolysis and significant carotid stenosis."
