Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Current evidence from recent trials, including the AcT trial and meta-analyses, suggests that intravenous tenecteplase (typically at a dose of 0.25 mg/kg) is at least non-inferior to alteplase for acute ischemic stroke and may offer practical advantages such as single-bolus administration, but definitive superiority of tenecteplase over alteplase has not been conclusively established, so while tenecteplase is increasingly favored due to its ease of administration and comparable efficacy, both agents remain acceptable options, with tenecteplase now recommended as an alternative to alteplase in updated guidelines such as the 2024 AHA/ASA recommendations.",1.0,"CORRECT: The student states that tenecteplase (0.25 mg/kg) is at least non-inferior to alteplase and that both are acceptable options, with tenecteplase increasingly favored—consistent with the reference that tenecteplase is not inferior and recommended to improve outcomes."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","The most appropriate next step in management is to administer intravenous alteplase (IV thrombolysis), because this patient presents within the 4.5-hour treatment window (90 minutes from symptom onset) with an acute ischemic stroke manifesting as Broca's aphasia (nonfluent aphasia with preserved comprehension, impaired naming, and impaired sentence formation) and right facial droop localizing to the left middle cerebral artery territory, and although his NIHSS score of 4 might seem mild, the significant language deficit causing inability to communicate needs represents a disabling deficit that warrants treatment, as current AHA/ASA guidelines recommend IV alteplase for patients presenting within 4.5 hours who have measurable disabling neurological deficits regardless of a seemingly low NIHSS score, since aphasia profoundly impacts functional independence and quality of life.",1.0,"CORRECT: The student recommends immediate IV alteplase within the 4.5-hour window for a disabling aphasia despite a low NIHSS, which aligns with guidelines. This matches the reference answer’s key management step."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","The presence of a DWI-FLAIR mismatch (positive DWI with no corresponding FLAIR signal change) suggests that the ischemic injury is likely less than 4.5 hours old despite the prolonged last known well time, and based on the WAKE-UP trial, the most appropriate next step is to administer intravenous alteplase (IV thrombolysis), as this DWI-FLAIR mismatch pattern identifies patients with wake-up stroke who can benefit from thrombolytic therapy within a physiologically relevant time window even when the exact onset time is unknown.",1.0,"CORRECT: The DWI-FLAIR mismatch supports eligibility for extended-window IV thrombolysis in wake-up stroke, and administering alteplase is consistent with guideline-supported imaging-based selection (e.g., WAKE-UP)."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","This patient, presenting within 2 hours of symptom onset with an NIHSS of 3 and no intracranial hemorrhage on CT, has what would traditionally be classified as a ""minor stroke,"" and while IV alteplase (or tenecteplase) can be considered, current evidence and guidelines — particularly informed by trials such as PRISMS and the minor stroke subgroup analyses — suggest that for patients with non-disabling deficits (NIHSS ≤ 5) without clearly disabling symptoms such as significant weakness, aphasia, or hemianopia, antiplatelet therapy (specifically dual antiplatelet therapy with aspirin and clopidogrel initiated within 24 hours) is the preferred initial treatment, as thrombolysis in this population has not demonstrated a clear net benefit over antiplatelets and carries a risk of symptomatic intracranial hemorrhage, though clinical judgment should account for whether any of her deficits are considered functionally disabling to the patient.",1.0,"CORRECT: The student recommends dual antiplatelet therapy (aspirin plus clopidogrel) rather than IV thrombolysis for a minor, non-disabling stroke (NIHSS ≤5), aligning with guidelines. While they did not specify the 21-day duration then single agent, the key treatment choice matches the reference."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","This patient, with a high NIHSS of 14 suggesting a possible large vessel occlusion (LVO), and with symptom onset very recent (within 20 minutes), should be transported directly to the closest primary stroke center 10 minutes away so that intravenous alteplase can be administered as quickly as possible within the thrombolytic window, with subsequent rapid transfer (""drip-and-ship"") to the comprehensive thrombectomy-capable center if LVO is confirmed, because current AHA/ASA guidelines recommend that when the additional transport time to a thrombectomy-capable center exceeds approximately 15–30 minutes beyond the nearest IV tPA-capable facility, initial routing to the closer center for thrombolytic therapy followed by secondary transfer is preferred to avoid delaying time-sensitive reperfusion treatment.",1.0,"CORRECT: The student recommends transport to the nearest primary stroke center rather than bypassing to the distant thrombectomy-capable center, aligning with the reference. They also correctly note the rationale of minimizing delays to IV thrombolysis with subsequent transfer if needed."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","The most appropriate next step in management is intravenous alteplase (if still within the 4.5-hour window) followed by emergent endovascular mechanical thrombectomy of the basilar artery occlusion, because basilar artery occlusion carries an extremely high mortality and morbidity if untreated, and the presence of a limited infarct core with salvageable penumbral tissue on CT perfusion — combined with evidence from the ATTENTION and BAOCHE trials demonstrating benefit of thrombectomy for basilar artery occlusion up to 24 hours — supports aggressive endovascular intervention to achieve recanalization and preserve viable brainstem and cerebellar tissue.",1.0,CORRECT: The student identifies emergent endovascular thrombectomy for basilar artery occlusion within the extended window and supports it with appropriate rationale. Mentioning IV alteplase within 4.5 hours as bridging therapy is consistent with guidelines and does not contradict the reference answer.
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","The most appropriate management decision is to **not administer adjuvant antiplatelet or antithrombotic therapy within the first 24 hours after IV thrombolysis**, because current AHA/ASA guidelines recommend delaying initiation of antithrombotic agents (such as aspirin or heparin) for at least 24 hours following IV alteplase or tenecteplase administration due to the significantly increased risk of symptomatic intracranial hemorrhage, and clinical trials (such as IST-3 and studies evaluating early antiplatelet use post-thrombolysis) have not demonstrated a net benefit of adding adjuvant antithrombotic agents during this early window — instead, a follow-up noncontrast CT should be obtained at approximately 24 hours to rule out hemorrhagic transformation before initiating aspirin or other antithrombotic therapy.",1.0,"CORRECT: The student clearly recommends against adding adjuvant antithrombotic/antiplatelet therapy with IV thrombolysis, consistent with guidelines that show no benefit and increased hemorrhage risk, and appropriately notes delaying antithrombotics until after a 24-hour CT."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Based on current AHA/ASA guidelines for acute ischemic stroke management, this patient's hyperglycemia should be treated with insulin therapy to maintain blood glucose levels in the range of 140–180 mg/dL (since persistent hyperglycemia above 180 mg/dL in the first 24 hours is associated with worse outcomes and should be corrected while avoiding hypoglycemia below 60 mg/dL), and his blood pressure of 155–165 mm Hg systolic should be allowed to remain at its current level without aggressive lowering, as guidelines recommend maintaining blood pressure below 180/105 mmHg in the first 24 hours after reperfusion therapy (IV alteplase or endovascular treatment), and since his readings are already below this threshold, no antihypertensive intervention is required unless there is a specific indication such as aortic dissection, hypertensive encephalopathy, or acute cardiac failure.",1.0,"CORRECT: The student recommends moderate glucose control to 140–180 mg/dL and avoids intensive lowering, aligning with guidelines. For BP, they appropriately allow SBP 155–165 mm Hg without aggressive lowering post-reperfusion, which is within the 140–180 mm Hg target and avoids lowering below 140."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","According to current AHA/ASA guidelines, this 12-year-old presenting within the 4.5-hour window with a large vessel occlusion (left MCA M1) and an NIHSS of 11 should receive intravenous alteplase (0.9 mg/kg, maximum 90 mg, with 10% as bolus and the remainder infused over 60 minutes) and be urgently evaluated for mechanical thrombectomy, as the Thrombolysis in Pediatric Stroke (TIPS) trial and subsequent guideline updates support the use of IV tPA in selected pediatric patients presenting within the treatment window, and strong evidence from adult trials (extended to pediatric practice on a case-by-case basis) supports endovascular thrombectomy for large vessel occlusions of the anterior circulation presenting within 24 hours when salvageable tissue is present — though it should be noted that pediatric stroke management often involves multidisciplinary consultation and that while IV thrombolysis in children remains somewhat off-label, current expert consensus and AHA guidelines recommend its consideration in eligible pediatric patients alongside mechanical thrombectomy for documented large vessel occlusion.",0.5,"PARTIALLY CORRECT: The student correctly recommends evaluation for mechanical thrombectomy in a pediatric large vessel occlusion at an experienced center, aligning with the reference. However, they overstate IV alteplase as a should-give therapy; pediatric IV tPA use is limited/off-label and not a routine guideline recommendation, which is not reflected in the reference answer’s emphasis."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"A mobile stroke unit (MSU) is preferred over conventional emergency services because it enables prehospital CT imaging, earlier diagnosis, and faster initiation of intravenous thrombolysis, thereby reducing time to treatment and improving functional outcomes in acute ischemic stroke.",1.0,"CORRECT: The student identifies the mobile stroke unit as the preferred option and accurately explains that it enables faster diagnosis and thrombolysis, consistent with guideline rationale."
