Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes  and hyperlipidemia is brought to the emergency department after left sided weakness and expressive aphasia that begins 2 hours prior to arrival. Her stroke scale is 5. Non-contrast head ct shows no intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Intravenous tenecteplase at a dose of 0.25 mg/kg body weight (maximum 25 mg) is recommended as it has shown similar efficacy and safety profiles to alteplase in various trials, including the MOST trial, with potential advantages due to its higher fibrin specificity and favorable pharmacokinetics.",0.5,"PARTIALLY CORRECT: The answer recognizes that tenecteplase has similar efficacy and safety to alteplase (noninferiority), but it incorrectly recommends tenecteplase as preferred. Guidelines endorse using either alteplase or tenecteplase within the 4.5-hour window, without a clear superiority of one over the other."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset of left facial droop and slurred speech. His NIH Stroke Scale score is 4, driven primarily by aphasia, which is felt to be a disabling deficit. Noncontrast head ct shows no intracranial hemorrhage. What is the most appropriate next step?","Administration of IV alteplase for thrombolysis is recommended given the patient's disabling deficits and eligibility within 4.5 hours from symptom onset, despite his NIHSS score being below the threshold for IVT in some guidelines, subjective considerations must be taken into account to guide patient selection.",1.0,"CORRECT: The student recommends IV alteplase within the 4.5-hour window for a disabling deficit despite low NIHSS, aligning with guidelines. They do not introduce a need for advanced imaging, consistent with the reference."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided weakness and neglect upon awakening. His last known well was approximately 10 hours earlier and his NIH stroke scale score is 4. Noncontrast head CT shows no intracranial hemorrhage. MRI of the brain shows restricted diffusions through the right middle cerebral artery on diffusion weighted imaging. However, there is no corresponding signal change on fluid-attenuated inversion recovery. What is the most appropriate next step?","The patient's presentation and imaging findings are consistent with a large vessel occlusion (LVO) in the right middle cerebral artery territory, making him eligible for endovascular thrombectomy (EVT). Given his NIHSS score of 4 and time from last known well of approximately 10 hours, EVT should be considered to improve functional outcomes.",0.0,"WRONG: The imaging shows a DWI-FLAIR mismatch supporting extended-window IV thrombolysis, not primary EVT. The student recommends thrombectomy despite no confirmed LVO and a low NIHSS, missing the guideline-supported next step."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. Sensory testing reveals isolated decreased pinprick sensation over her face and hand. Her NIH Stroke Scale was a 1. Noncontrast head CT shows no intracranial hemorrhage. WHat is the recommended course of treatment for this patient?","The patient meets the criteria for minor noncardioembolic AIS with an NIHSS score ≤3, and therefore, dual antiplatelet therapy (DAPT) should be initiated early and continued for 21 days, followed by single antiplatelet therapy to reduce the risk of recurrent stroke.",1.0,"CORRECT: The student identifies this as a minor, non-disabling stroke and recommends early dual antiplatelet therapy, which aligns with guidelines that do not support thrombolysis in isolated sensory deficits. The suggested 21-day DAPT course followed by single antiplatelet therapy is consistent with standard practice."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a National Institutes of Health Stroke Scale (NIHSS) score of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","In this patient, given the proximity of the primary stroke center (PSC) to the scene and its ability to provide timely thrombolysis, direct transport to the PSC would be reasonable for acute ischemic stroke management, despite the availability of a more distant comprehensive thrombectomy-capable stroke center.",0.0,"WRONG: The reference answer addresses the lack of benefit of preoperative tirofiban before EVT, whereas the student discusses transport destination. The student’s answer does not include the key information from the reference and is therefore incorrect relative to it."
"A 72 year old woman presents to the ED 4 hours after sudden onset of left sided weakness, aphasia, and rightward gaze deviation. On examination she has global aphasia and his NIH stroke Scale score is 19. Noncontrast head CT shows early ischemic changes in the right MCA territory. CT angiography shows an occlusion of the proximal right MCA  M1 segment. CT perfusion shows a large ischemic core with limited hypoperfused tissue. Given the large ischemic core, can endovascular thrombectomy be performed?","Endovascular thrombectomy is not recommended in this case due to the large ischemic core and limited hypoperfused tissue on CT perfusion imaging, as indicated by the clinical content extracted from the guidelines.",0.0,"WRONG: Current evidence supports EVT for selected patients with large ischemic cores, demonstrating benefit in some cases. The student's categorical statement that EVT is not recommended contradicts the reference guidance."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of ride-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIH Stroke Scale score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. The patient is treated with intravenous thrombolysis and the stroke team debates whether adding an adjuvant antithrombotic agent might improve clinical outcomes. What is the most appropriate management decision?","The administration of IV aspirin concurrently or within 90 minutes after the start of IVT due to the risk of hemorrhage is not recommended, so it would be inappropriate to add an adjuvant antithrombotic agent such as IV aspirin in this patient.",1.0,"CORRECT: The student concludes that adding an adjuvant antithrombotic agent with IVT is inappropriate, aligning with the guideline that adjuvant antithrombotics are not recommended. Although they focus on aspirin and mention timing, the core management decision matches the reference answer."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/d and his stolic blood pressure ranges from 155 to 165 mm Hg.  Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","For a patient with acute ischemic stroke, the recommended blood glucose management is to treat persistent hyperglycemia to achieve blood glucose levels in a range of 140 to 180 mg/dL with close monitoring to prevent worse functional outcomes.",1.0,"CORRECT: The student recommends targeting 140–180 mg/dL for glucose control, aligning with guidelines that advise against intensive control (80–130 mg/dL) due to hypoglycemia risk."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIH stroke scale score is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, m1 segment. How should this patient’s stroke be managed according to current guidelines?","According to the guidelines, for a pediatric patient with acute ischemic stroke due to large vessel occlusion within 24 hours from symptom onset, endovascular thrombectomy (EVT) may be reasonable if performed by experienced neurointerventionalists.",1.0,"CORRECT. The student captures the key guideline point that endovascular thrombectomy may be reasonable for select pediatric patients with large vessel occlusion when performed by experienced teams, aligning with the reference’s emphasis on interventional treatment and potential benefit in pediatric AIS."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"The use of a Mobile Stroke Unit (MSU) is recommended over conventional EMS for transporting thrombolytic-eligible patients to improve treatment times and outcomes, especially in cases where timely intervention is critical due to the patient's symptoms suggesting acute ischemic stroke.",1.0,CORRECT: The student correctly identifies that a Mobile Stroke Unit is preferred over conventional EMS for suspected acute ischemic stroke due to improved treatment times and outcomes. This aligns with guideline-supported benefits and the focus on thrombolytic-eligible patients.
