Q,A
"A 48-year-old woman with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after acute onset of right-sided weakness and difficulty speaking that began 2 hours prior to arrival. On examination, she has impaired speech production with preserved comprehension, right facial droop, and right upper and lower extremity weakness with the arm more affected than the leg. Her NIHSS is 12. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Neither is more effective: tenecteplase 0.25 mg/kg is noninferior to alteplase 0.9 mg/kg for functional outcomes and both are guideline-recommended within 4.5 hours, though tenecteplase’s single-bolus dosing can reduce delays and errors; avoid tenecteplase 0.4 mg/kg due to higher sICH without benefit."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Administer IV thrombolysis now (e.g., alteplase 0.9 mg/kg or tenecteplase 0.25 mg/kg) after BP/glucose checks, because his persistent severe aphasia is a clearly disabling deficit despite an NIHSS of 4 and he presents within 4.5 hours with no hemorrhage, so treatment should not be delayed for additional testing."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and not on oral anticoagulation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Administer intravenous thrombolysis now (alteplase or tenecteplase), because the MRI DWI–FLAIR mismatch in this wake-up stroke indicates eligibility for IVT beyond 4.5 hours and his mild but disabling deficits (neglect, arm weakness) warrant treatment."
"A 59-year-old woman with a history of hypertension presents to the emergency department 2 hours after sudden onset of numbness involving her right face and hand. She denies significant weakness, speech difficulty, visual changes, or gait disturbance. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS score is 4. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV thrombolysis or dual antiplatelet therapy?","Given her minor, likely non-disabling deficits (NIHSS 4) at 2 hours and no hemorrhage, initiate early dual antiplatelet therapy (aspirin plus clopidogrel for 21 days) rather than IV thrombolysis, reserving IVT only if the deficits are judged disabling."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Given severe deficits suggesting LVO but a 45-minute longer transport, EMS should go to the nearest IVT-capable primary stroke center with prenotification for rapid imaging and thrombolysis, then expedite transfer for EVT if LVO is confirmed, because RACECAT/TRIAGE-STROKE show no outcome benefit to bypass and bypass reduces IVT use and may harm ICH patients."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of severe dysarthria, dysphagia, bilateral limb weakness, and left-sided visual field loss. On arrival, she is intermittently unresponsive and unable to protect her airway. Neurologic examination reveals quadriparesis, absent gag reflex, and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","Perform rapid endotracheal intubation for airway protection and proceed immediately to endovascular thrombectomy, because a proximal basilar artery occlusion with severe deficits and limited infarct core but salvageable posterior circulation tissue within the treatment window warrants EVT to improve functional outcomes and reduce mortality."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of ride-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Do not add adjunctive antithrombotics during or soon after IV thrombolysis; withhold IV aspirin/eptifibatide (and similar agents) and begin antiplatelet therapy only after 24-hour imaging excludes hemorrhage, because randomized trials and guidelines show no functional benefit and higher bleeding/mortality with early adjunct therapy."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/d and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Treat hyperglycemia to 140–180 mg/dL using insulin while avoiding hypoglycemia (do not target 80–130 mg/dL), and avoid aggressive BP lowering—his SBP 155–165 mm Hg is acceptable; maintain SBP <180/105 mm Hg after thrombolysis/EVT, as targets <140 mm Hg post-recanalization are harmful."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, m1 segment. How should this patient’s stroke be managed according to current guidelines?","Given disabling AIS 90 minutes from onset with M1 occlusion and no hemorrhage, guidelines support considering IV alteplase within 4.5 hours and urgent evaluation for endovascular thrombectomy by an experienced pediatric-capable team, as timely reperfusion in children 28 days–18 years is safe with IVT (efficacy uncertain) and EVT may benefit selected older children with LVO."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"The mobile stroke unit is preferred over conventional EMS, because RCTs and meta-analyses (e.g., BEST‑MSU and B_PROUD) show MSUs safely reduce time to treatment, increase golden‑hour thrombolysis, and improve 90‑day functional outcomes in eligible AIS patients."
