Q,A
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?",Intravenous tenecteplase (0.25 mg/kg IV bolus) is preferred over alteplase because trials show noninferior functional outcomes overall and superior early reperfusion—particularly in suspected large-vessel occlusion—with similar hemorrhage risk.
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Administer IV thrombolysis now (e.g., alteplase) because his disabling aphasia within 4.5 hours and a negative head CT qualifies for treatment despite a low NIHSS, assuming no contraindications and BP can be kept <185/110."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Administer IV thrombolysis (alteplase) now because the DWI–FLAIR mismatch in this wake-up stroke indicates onset within the treatment window and his neglect/arm weakness are disabling despite an NIHSS of 4, assuming no contraindications."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","Antiplatelet therapy (ideally short-course dual antiplatelet therapy) is recommended rather than IV tenecteplase because her deficits are mild and non-disabling (NIHSS 3 with only mild weakness and sensory loss and no aphasia, hemianopia, or neglect), and trials/guidelines show no functional benefit and increased hemorrhage risk from thrombolysis in such patients."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Transport to the nearest primary stroke center for rapid imaging and IV thrombolysis with expedited transfer for thrombectomy if LVO is confirmed, because the comprehensive center is ~45 minutes farther and bypassing the closer facility would unduly delay time-sensitive reperfusion despite the high NIHSS."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","Activate emergent endovascular mechanical thrombectomy for basilar artery occlusion and administer IV alteplase immediately if no contraindications, because she is 4 hours from onset with a proximal large-vessel occlusion and a small core with salvageable posterior circulation tissue."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Do not add any adjuvant antithrombotic therapy within 24 hours of IV thrombolysis; instead obtain follow-up brain imaging and then start aspirin if no hemorrhage, because early antiplatelet/anticoagulant use has not shown outcome benefit and increases symptomatic intracranial hemorrhage risk per guidelines."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Use insulin to keep glucose in the 140–180 mg/dL range (to avoid hyperglycemia-associated worse outcomes without causing hypoglycemia) and, because he received reperfusion therapy, maintain blood pressure below 180/105 mm Hg—his current 155–165 mm Hg systolic meets this target and should be observed without aggressive lowering to reduce hemorrhagic risk while preserving cerebral perfusion."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","Per AHA/ASA pediatric stroke guidance, this 12-year-old with disabling deficits and a confirmed left M1 occlusion within 90 minutes should receive IV alteplase within 4.5 hours (if no contraindications) and be taken urgently for mechanical thrombectomy at an experienced pediatric stroke center—without delaying EVT for thrombolysis—because selected children (age 2–17) with LVO and no hemorrhage benefit from reperfusion therapy."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"Deploy the mobile stroke unit, because it can perform on-scene CT/tele-neurology to deliver thrombolysis earlier and triage for thrombectomy, reducing time to treatment and improving functional outcomes compared with conventional EMS."
