Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Intravenous tenecteplase (0.25 mg/kg, max 25 mg) is preferred over alteplase because current guidelines recommend it within 4.5 hours to improve functional outcomes with similar safety and simpler single-bolus administration.",0.5,"PARTIALLY CORRECT: The student correctly notes tenecteplase dosing and that it can improve outcomes within 4.5 hours with similar safety. However, they overstate by saying it is preferred over alteplase; the reference states both are recommended and that tenecteplase is noninferior rather than clearly superior."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Administer intravenous thrombolysis without delay (e.g., alteplase 0.9 mg/kg or tenecteplase 0.25 mg/kg) because his severe aphasia is a clearly disabling deficit despite a low NIHSS and he is within 4.5 hours with no hemorrhage on CT, so treatment should not be delayed for additional testing.",1.0,"CORRECT: The student recommends immediate IV thrombolysis within the 4.5-hour window for a disabling aphasia despite low NIHSS and not delaying for additional imaging, matching guideline recommendations."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Administer IV thrombolysis (e.g., alteplase) now, because the DWI–FLAIR mismatch in this wake-up stroke with a disabling deficit (neglect) indicates eligibility for extended-window IVT despite a 10-hour last-known-well, per guideline-supported MRI mismatch selection.",1.0,"CORRECT. The student recommends IV thrombolysis based on a DWI–FLAIR mismatch in a wake-up stroke with a disabling deficit, which aligns with guideline-supported extended-window thrombolysis using advanced imaging despite an unknown/≈10-hour last-known-well. This matches the reference guidance for selected patients using imaging-based selection."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","Antiplatelet therapy—preferably early dual antiplatelet therapy with aspirin plus clopidogrel for 21 days—should be given rather than IV tenecteplase because her presentation is a minor (NIHSS 3) likely nondisabling noncardioembolic AIS within 24 hours where guidelines favor DAPT to reduce 90-day recurrence and recommend against IVT for nondisabling deficits, acknowledging a slight bleeding risk.",1.0,"CORRECT: The student recommends dual antiplatelet therapy (aspirin + clopidogrel) for 21 days rather than IV thrombolysis in a minor, likely nondisabling, noncardioembolic stroke (NIHSS 3), which aligns with guideline recommendations. This matches the reference approach for minor noncardioembolic stroke not receiving IVT."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Transport him to the nearest primary stroke center for rapid imaging and IV thrombolysis with prenotification and early activation of transfer for EVT if LVO is confirmed, because bypassing to a distant thrombectomy-capable center adds substantial delay and has not improved outcomes in trials (RACECAT/TRIAGE-STROKE) or guidelines (AHA/ASA COR 3).",1.0,"CORRECT: The student recommends transport to the nearest primary stroke center with rapid reperfusion and coordinated transfer if needed, matching the guideline-based reference. Their rationale that bypassing to a distant thrombectomy center has not improved outcomes is consistent with evidence and guidelines."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","Initiate IV thrombolysis and immediately proceed to endovascular thrombectomy (bridging therapy), because she is within 4.5 hours with a proximal basilar artery occlusion, severe deficits, and limited core with salvageable posterior-circulation tissue, for which EVT is recommended and IVT should not be delayed.",1.0,"CORRECT. The student recommends immediate endovascular thrombectomy for basilar artery occlusion with salvageable tissue, aligning with guideline-based management. Including IV thrombolysis within 4.5 hours is consistent and does not contradict the reference answer."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Do not add any adjunctive antithrombotic (e.g., IV aspirin, eptifibatide, argatroban) after IV thrombolysis and instead delay antiplatelets until 24 hours with repeat imaging, because trials show no functional benefit and increased hemorrhage/mortality with early adjunctive therapy.",1.0,CORRECT: The student correctly states not to add adjunctive antithrombotics with IV thrombolysis and to delay antiplatelets for 24 hours with repeat imaging. This matches the guideline that agents like argatroban or eptifibatide do not improve outcomes; added safety rationale does not contradict.
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Treat his persistent hyperglycemia with insulin to a target of 140–180 mg/dL with close monitoring (avoiding intensive 80–130 mg/dL targets that provide no functional benefit and increase hypoglycemia), and maintain post-reperfusion blood pressure below 180 mm Hg systolic (his 155–165 mm Hg is acceptable), avoiding intensive lowering to <140 mm Hg, which shows no benefit after IVT and harm after successful EVT.",1.0,"CORRECT: The student avoids intensive glucose control (80–130 mg/dL) and targets 140–180 mg/dL, consistent with guidelines. They also recommend keeping systolic BP below 180 mm Hg and avoiding reduction below 140 mm Hg, aligning with the 140–180 mm Hg post-reperfusion target."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","Given a 12-year-old with disabling anterior circulation LVO (left M1) presenting 90 minutes after onset, current guidelines advise treating at an experienced center with consideration of IV alteplase within 4.5 hours (safe in pediatrics though efficacy is uncertain) and proceeding urgently to endovascular thrombectomy to achieve reperfusion, as observational pediatric data (especially in children >6 years) support EVT benefit.",0.5,"PARTIALLY CORRECT: The student correctly recommends management at an experienced center with consideration of endovascular therapy for pediatric LVO. However, they add IV alteplase as a guideline-supported therapy, which is not reflected in the reference guidance and overstates recommendations."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"Activate the mobile stroke unit (MSU), because AHA/ASA guidelines recommend MSUs over conventional EMS for suspected thrombolysis-eligible stroke given their faster imaging/treatment and improved functional outcomes without added safety concerns.",1.0,"CORRECT: The student selects the mobile stroke unit and justifies it based on faster imaging/treatment and guideline support, which aligns with the reference that MSUs are preferred for quicker identification and treatment of thrombolysis-eligible patients."
