Q,A
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Intravenous tenecteplase (0.25 mg/kg bolus) is the more effective option because it is noninferior to alteplase overall within 4.5 hours and achieves higher early reperfusion with similar hemorrhage risk, particularly when a large-vessel occlusion is suspected."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Administer IV alteplase now because he is within 4.5 hours and has a clearly disabling ischemic deficit (aphasia) with no hemorrhage on CT, after ensuring BP ≤185/110 and no contraindications."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Administer IV thrombolysis now (e.g., alteplase), because the DWI–FLAIR mismatch in this wake-up stroke indicates onset within the treatment window and he has disabling deficits without hemorrhage."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","Antiplatelet therapy—preferably short-course dual antiplatelet therapy with aspirin plus clopidogrel—is recommended rather than IV tenecteplase because this is a minor, non-disabling ischemic stroke (NIHSS 3) within 4.5 hours, for which thrombolysis has no proven net benefit and carries bleeding risk."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Go to the nearest primary stroke center for rapid evaluation and IV thrombolysis with expedited transfer for thrombectomy if indicated (drip-and-ship), because the 45-minute additional travel time to a thrombectomy-capable center exceeds recommended bypass thresholds despite high NIHSS suggesting LVO."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","Proceed with immediate endovascular mechanical thrombectomy of the basilar artery (with bridging IV alteplase if eligible), because she is 4 hours from onset with a proximal basilar occlusion, severe deficits, no hemorrhage, and a small infarct core with a large salvageable penumbra."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Do not add an adjuvant antithrombotic; withhold antiplatelet and anticoagulant therapy for 24 hours after IV thrombolysis and start aspirin only after a follow-up CT/MRI excludes hemorrhage, because early adjunctive antithrombotics have no proven benefit and increase symptomatic intracranial hemorrhage risk."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Per AHA/ASA guidelines, manage hyperglycemia with insulin to a target 140–180 mg/dL while avoiding hypoglycemia, and after reperfusion therapy maintain blood pressure at or below 180/105 mm Hg for the first 24 hours without active lowering at his current 155–165 mm Hg, because tighter glucose control and more aggressive blood pressure reduction have not improved outcomes and may compromise cerebral perfusion or increase hemorrhagic risk."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","Because IV alteplase is not routinely recommended in children, this 12-year-old with a disabling M1 large-vessel occlusion presenting within 6 hours should receive emergent mechanical thrombectomy at an experienced pediatric-capable stroke center with standard acute supportive care, rather than IV thrombolysis."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"Dispatch the mobile stroke unit, because it can perform on-scene CT and tele-neurology to exclude hemorrhage and deliver IV thrombolysis or triage for thrombectomy much earlier than conventional EMS, thereby shortening time to reperfusion and improving outcomes."
"A 54-year-old man with a history of hypertension presents to the emergency department 3 hours after sudden onset of left-sided weakness, gaze deviation, and decreased level of alertness. On examination, he has dense left hemiplegia with a NIHSS of 22. Noncontrast head CT shows early ischemic changes involving more than one half of the right middle cerebral artery territory. Should intravenous glibenclamide be initiated?","No—intravenous glibenclamide should not be initiated outside a clinical trial because randomized evidence (e.g., GAMES-RP) has not shown functional benefit and current AHA/ASA guidelines do not recommend its routine use in large hemispheric infarction at risk for malignant edema."
"A 73-year-old woman is admitted after an acute ischemic stroke involving the right hemispheric region. After initial stabilization, she is noted to have difficulty swallowing, frequent coughing during oral intake, and a wet-sounding voice. A bedside swallow evaluation is abnormal, and a subsequent videofluoroscopic swallow study confirms moderate oropharyngeal dysphagia with aspiration of thin liquids. According to current stroke guidelines, how should dysphagia be managed in this patient?","Per AHA/ASA stroke guidelines, manage her confirmed oropharyngeal dysphagia with a speech–language pathologist–directed plan that avoids thin liquids and uses the safest consistencies demonstrated on videofluoroscopy (thickened liquids and texture-modified solids), employs compensatory strategies and supervised feeding with strict oral care and aspiration precautions, and initiates early enteral nutrition via nasogastric tube if she cannot safely maintain hydration/nutrition (considering PEG if persistent >2–3 weeks), with regular reassessment."
