Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?",Both intravenous tenecteplase at a dose of 0.25 mg/kg body weight (max 25 mg) and alteplase at a dose of 0.9 mg/kg body weight are recommended to improve functional outcomes in adult patients with acute ischemic stroke eligible for intravenous thrombolysis within 4.5 hours of symptom onset.,0.5,"PARTIALLY CORRECT: The student correctly lists both agents, their doses, and the 4.5-hour window, stating they improve outcomes. However, they do not address comparative effectiveness; guidelines note tenecteplase is non-inferior and recommended to improve functional outcomes."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Given the patient's presentation within 4.5 hours of symptom onset, an NIHSS score of 4 primarily due to severe aphasia which is considered a clearly disabling deficit, and no evidence of intracranial hemorrhage on noncontrast head CT, the most appropriate next step is to initiate intravenous thrombolysis with either tenecteplase or alteplase as quickly as possible.",1.0,"CORRECT: The student recommends immediate IV thrombolysis for a clearly disabling deficit within 4.5 hours after excluding hemorrhage, aligning with guideline-based management. Mentioning alteplase or tenecteplase and urgency matches the reference answer’s key points."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Given the patient's wake-up stroke with an unknown onset time of 10 hours, an NIHSS score of 4, and MRI findings of DWI-FLAIR mismatch, intravenous thrombolysis should be considered as MRI DWI-FLAIR mismatch selection is useful for determining eligibility for extended window IVT in such cases.",1.0,"CORRECT: The student recommends IV thrombolysis based on MRI DWI-FLAIR mismatch in a wake-up/unknown-onset stroke, which aligns with guideline-supported extended-window thrombolysis using advanced imaging criteria. This matches the reference answer’s recommendation."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","This patient should be treated with IV tenecteplase, as she presents with acute ischemic stroke symptoms (NIHSS 3) within the 4.5-hour window and has no intracranial hemorrhage, making her eligible for intravenous thrombolysis, while antiplatelet therapy is generally not recommended concurrently or within 24 hours after IV thrombolysis due to increased hemorrhagic risk.",0.0,"WRONG. Guidelines recommend dual antiplatelet therapy for minor noncardioembolic stroke (NIHSS ≤5) with non-disabling deficits, not IV thrombolysis. The student incorrectly recommends IV tenecteplase and dismisses antiplatelet therapy, contradicting the reference answer."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Based on the guidelines, direct transport to a distant thrombectomy-capable center does not improve clinical outcomes compared to a local stroke center proficient in thrombolysis, therefore the patient should be transported to the closer primary stroke center.",1.0,"CORRECT: The student states that direct transport to a distant thrombectomy-capable center does not improve outcomes and concludes the patient should go to the closer primary stroke center, matching the reference guidance."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","The most appropriate next step in management is endovascular thrombectomy, as the patient presents with acute ischemic stroke from basilar artery occlusion, an NIHSS score of 28, and is within 4 hours of symptom onset, meeting the guideline recommendations for EVT within 24 hours to improve functional outcomes and reduce mortality.",1.0,"CORRECT: The student identifies endovascular thrombectomy as the next step for acute basilar artery occlusion and notes appropriate timing and severity, aligning with guideline recommendations to improve outcomes and reduce mortality."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Adjunctive antithrombotic agents like IV eptifibatide or argatroban are not recommended after IV thrombolysis for acute ischemic stroke, as studies like the MOST trial showed no reduction in post-stroke disability and an association with increased 90-day mortality.",1.0,"CORRECT: The student clearly states that adjunctive antithrombotic agents (eptifibatide, argatroban) are not recommended with IV thrombolysis because they do not improve outcomes, aligning with the reference. Any trial details do not affect the correctness of the core recommendation."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","For this patient, intensive intravenous insulin to achieve blood glucose levels between 80 and 130 mg/dL is not recommended, and his systolic blood pressure should be maintained between 140 and 180 mm Hg post-reperfusion therapy.",1.0,"CORRECT: The student correctly advises against intensive glucose control to 80–130 mg/dL and recommends maintaining systolic BP between 140–180 mm Hg after reperfusion, aligning with guideline targets."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","According to current guidelines, intravenous thrombolysis with alteplase may be considered for this 12-year-old patient, given his confirmed acute ischemic stroke, disabling deficits, and presentation within 4.5 hours of symptom onset, although its efficacy in pediatric patients is uncertain.",0.0,"WRONG: Guidelines for pediatric large vessel occlusion emphasize consideration of endovascular thrombectomy at experienced centers, which the student did not mention. IV alteplase is not established and generally not recommended in children outside trials, so proposing tPA contradicts the key recommendation."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"A mobile stroke unit (MSU) is preferred over conventional emergency medical services (EMS) for this patient, as MSUs are recommended for thrombolytic-eligible patients to ensure faster treatment and improved outcomes.",1.0,"CORRECT: The student states that a mobile stroke unit is preferred and cites faster treatment for thrombolytic-eligible patients, aligning with the reference guidance."
