Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Current evidence from recent trials, including the AcT trial and meta-analyses, suggests that intravenous tenecteplase (typically at a dose of 0.25 mg/kg) is at least non-inferior to alteplase for acute ischemic stroke and may offer practical advantages such as single-bolus administration, but definitive superiority of tenecteplase over alteplase has not been conclusively established, so while tenecteplase is increasingly favored due to its ease of administration and comparable efficacy, both agents remain acceptable options for this patient presenting within the treatment window with a moderate-severity stroke.",1.0,"CORRECT: The student states that tenecteplase is at least non-inferior to alteplase and that both are acceptable within the treatment window, aligning with guidelines. While they do not mention dosing details or explicitly say “recommended to improve functional outcomes,” their summary matches the key guidance that TNK is a reasonable (and often favored) alternative without proven superiority."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","The most appropriate next step in management is to administer intravenous alteplase (IV thrombolysis), because this patient presents within the 4.5-hour treatment window with acute ischemic stroke symptoms — specifically a Broca's aphasia (nonfluent aphasia with preserved comprehension) and right facial droop localizing to the left middle cerebral artery territory — with no evidence of hemorrhage on CT, and although his NIHSS score of 4 might seem mild, the presence of significant language impairment that prevents the patient from communicating his needs clearly represents a disabling deficit, which meets the criteria for IV thrombolysis since current AHA/ASA guidelines recommend treatment when there is a measurable, functionally disabling neurological deficit regardless of the absolute NIHSS score.",1.0,"CORRECT: The student recommends IV alteplase for a disabling aphasia within the 4.5-hour window after excluding hemorrhage, which aligns with guidelines. Although they did not explicitly mention not delaying for additional imaging, the key management decision matches the reference answer."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","The presence of a DWI-FLAIR mismatch (positive DWI with no corresponding FLAIR signal change) suggests that the ischemic injury is likely less than 4.5 hours old despite the prolonged last known well time, and based on the WAKE-UP trial, the most appropriate next step is to administer intravenous alteplase (IV thrombolysis), as this DWI-FLAIR mismatch pattern identifies patients with wake-up stroke who can benefit from thrombolytic therapy within a physiologically relevant time window even when the exact onset time is unknown.",1.0,"CORRECT: The student recommends IV alteplase based on a DWI-FLAIR mismatch in a wake-up stroke, which aligns with guideline-supported extended-window thrombolysis using advanced imaging selection in unknown-onset cases."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","This patient, presenting within 2 hours of symptom onset with an NIHSS of 3 and no intracranial hemorrhage on CT, has what would traditionally be classified as a ""minor stroke,"" and while IV alteplase (or tenecteplase) can be considered, current evidence and guidelines — particularly informed by trials such as PRISMS and the minor stroke subgroup analyses — suggest that patients with non-disabling, low NIHSS strokes (typically NIHSS ≤5) without clearly disabling deficits may be reasonably treated with antiplatelet therapy (such as dual antiplatelet therapy with aspirin and clopidogrel initiated acutely), as thrombolysis in this population has not consistently demonstrated a net benefit over antiplatelets and carries a risk of symptomatic hemorrhage; however, it is critical to note that her deficits include measurable weakness (4+/5 in both the arm and leg) and sensory loss, which some clinicians would consider potentially disabling, so if the treating team judges these deficits to be disabling to the patient's functional independence or occupation, IV thrombolysis (tenecteplase or alteplase) would be appropriate — but in the absence of clearly disabling symptoms, antiplatelet therapy is the more supported initial treatment for this clinical scenario.",1.0,"CORRECT: The student appropriately favors antiplatelet therapy (specifically dual antiplatelet therapy) over IV thrombolysis for a minor, likely non-disabling stroke (NIHSS 3), aligning with guidelines. They also correctly note that thrombolysis may be considered if deficits are judged disabling."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","This patient, with a high NIHSS of 14 suggesting a possible large vessel occlusion (LVO), and with symptom onset very recent (within 20 minutes), should be transported directly to the closest primary stroke center 10 minutes away so that intravenous alteplase can be administered as rapidly as possible within the thrombolytic window, after which he can be secondarily transferred (""drip-and-ship"") to the comprehensive thrombectomy-capable center if LVO is confirmed on vascular imaging, because current AHA/ASA guidelines recommend that when the additional transport time to a thrombectomy-capable center exceeds approximately 15–30 minutes beyond the nearest IV tPA–capable facility, initial routing to the closer center for rapid thrombolytic therapy followed by transfer is preferred to avoid delaying time-sensitive reperfusion treatment.",1.0,"CORRECT. The student recommends transport to the closer primary stroke center for rapid IV thrombolysis with subsequent transfer if needed, aligning with guidelines that do not support bypassing to a distant thrombectomy center in this scenario. This matches the reference conclusion that the closer stroke center is appropriate."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","The most appropriate next step in management is intravenous alteplase (if still within the 4.5-hour window) followed by emergent endovascular mechanical thrombectomy of the basilar artery occlusion, because basilar artery occlusion carries an extremely high mortality and morbidity if untreated, and the CT perfusion demonstrating a limited infarct core with surrounding salvageable tissue (mismatch) supports the potential for meaningful neurological recovery with reperfusion, consistent with evidence from the BEST and BASICS trials supporting thrombectomy for acute basilar artery occlusion.",1.0,"CORRECT: The student recommends emergent endovascular thrombectomy, which aligns with guidelines for basilar artery occlusion with salvageable tissue. Including IV alteplase within 4.5 hours is also appropriate and does not contradict the reference answer."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","The most appropriate management decision is to **not administer adjuvant antiplatelet or antithrombotic therapy within the first 24 hours after IV thrombolysis**, because current AHA/ASA guidelines recommend delaying initiation of antithrombotic agents (such as aspirin or heparin) for at least 24 hours following IV alteplase or tenecteplase administration due to the significantly increased risk of symptomatic intracranial hemorrhage, and studies such as the IST-3 and other trials have shown that early adjunctive antithrombotic therapy after thrombolysis does not improve neurologic outcomes but does increase bleeding complications; therefore, a follow-up noncontrast CT should be obtained at 24 hours to rule out hemorrhagic transformation before initiating aspirin or other antithrombotic agents.",1.0,CORRECT: The student clearly states not to administer adjuvant antiplatelet/antithrombotic therapy after IV thrombolysis and explains that such adjuncts do not improve outcomes and increase bleeding risk. This aligns with guidelines that advise against adjuvant antithrombotics with IV thrombolysis.
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Based on current AHA/ASA guidelines for acute ischemic stroke management, this patient's hyperglycemia should be treated with insulin therapy to maintain blood glucose levels in the range of 140–180 mg/dL (since persistent hyperglycemia above 180 mg/dL in the first 24 hours is associated with worse outcomes and should be corrected while avoiding hypoglycemia below 60 mg/dL), and his blood pressure of 155–165 mm Hg systolic should be allowed to remain at its current level (permissive hypertension) since, after reperfusion therapy, guidelines recommend maintaining blood pressure below 180/105 mm Hg for the first 24 hours, a threshold his readings do not exceed, meaning no acute antihypertensive intervention is required at this time.",1.0,"CORRECT: The student recommends glucose control to 140–180 mg/dL (avoiding tight 80–130 mg/dL) and maintaining post-reperfusion BP under 180/105 mm Hg without aggressive lowering, which aligns with targeting systolic 140–180 mm Hg and avoiding reduction below 140."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","According to current AHA/ASA guidelines, this 12-year-old presenting within the 4.5-hour window with a large vessel occlusion (left MCA M1) and an NIHSS of 11 should receive intravenous alteplase (0.9 mg/kg, maximum 90 mg, with 10% as bolus and the remainder infused over 60 minutes) as first-line treatment, and mechanical thrombectomy should be strongly considered given the proximal large vessel occlusion, as the 2019 AHA/ASA guidelines and subsequent pediatric stroke expert consensus recommend that children with acute ischemic stroke due to large vessel occlusion may be treated with endovascular thrombectomy (ideally within 24 hours of symptom onset based on imaging selection, though most beneficial within 6 hours) in addition to IV thrombolysis, extrapolating from robust adult trial data (MR CLEAN, ESCAPE, EXTEND-IA, SWIFT PRIME, REVASCAT), since although pediatric-specific randomized controlled trial data are limited, the Thrombolysis in Pediatric Stroke (TIPS) trial and growing observational evidence support the safety and potential efficacy of both IV tPA and mechanical thrombectomy in appropriately selected pediatric patients.",0.5,"PARTIALLY CORRECT: The student correctly recommends considering mechanical thrombectomy for a pediatric large vessel occlusion at experienced centers, aligning with the reference. However, they also advocate routine IV alteplase as first-line therapy, which is not supported by the referenced guidance for children and overstates the evidence; the reference emphasizes endovascular consideration and specialist management."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"A mobile stroke unit (MSU) is preferred over conventional emergency services because it enables prehospital CT imaging, earlier diagnosis, and faster initiation of intravenous thrombolysis, thereby reducing door-to-needle times and improving clinical outcomes in acute ischemic stroke.",1.0,"CORRECT: The student correctly identifies that a mobile stroke unit is preferred and explains that it enables faster diagnosis and thrombolysis initiation, aligning with the rationale in the reference answer."
