Q,A,score,explanation
"A 48 year-old female with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after right arm weakness and expressive aphasia that began 2 hours prior to arrival. On exams, she has impaired speech production with preserved comprehension. Her NIHSS is 12. Non-contrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?",Intravenous tenecteplase 0.25 mg/kg (max 25 mg) is preferred over alteplase 0.9 mg/kg because contemporary trials demonstrate at least noninferior efficacy with similar safety and guidelines recommend tenecteplase to improve functional outcomes for adults treated within 4.5 hours.,1.0,"CORRECT: The student states that tenecteplase 0.25 mg/kg (max 25 mg) is preferred/noninferior with similar safety and is guideline-recommended to improve functional outcomes within 4.5 hours, which matches the reference that both are recommended, with tenecteplase not inferior and recommended to improve outcomes."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Administer intravenous thrombolysis (e.g., alteplase) immediately, because his severe aphasia is a clearly disabling deficit despite a low NIHSS and, within 4.5 hours with no hemorrhage on CT, IVT improves functional outcomes.",1.0,"CORRECT: The student recommends immediate IV thrombolysis within the 4.5-hour window for a disabling aphasia with no hemorrhage on CT, matching guideline-directed management."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Administer IV thrombolysis (e.g., alteplase/tenecteplase) now because the DWI–FLAIR mismatch in this wake-up stroke indicates recent onset within the treatable window and his neglect/arm weakness are disabling despite no hemorrhage on CT.",1.0,"CORRECT: DWI–FLAIR mismatch in a wake-up stroke supports recent onset, making extended-window IV thrombolysis appropriate despite unknown last-known-well. The student appropriately recommends IV thrombolysis now given disabling deficits and no hemorrhage on CT."
"A 59 year old woman with a history of hypertension presents to the ED 2 hours of sudden onset of numbness involving her right face. She denies weakness, speech difficulty, visual changes, or gait disturbances. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS Stroke Scale was a 3. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV tenecteplase or antiplatelet therapy?","Antiplatelet therapy is preferred—initiate dual antiplatelet therapy with aspirin plus clopidogrel for 21 days then single antiplatelet—because this presentation is a minor (NIHSS 3) likely noncardioembolic, non‑disabling stroke within 24 hours where guidelines favor DAPT and do not recommend IV thrombolysis, accepting a slight increased bleeding risk.",1.0,"CORRECT. The student recommends dual antiplatelet therapy for 21 days followed by single antiplatelet therapy in a minor, likely noncardioembolic stroke, matching the reference. They correctly note that IV thrombolysis is not recommended in this scenario."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Transport him to the nearest primary stroke center for immediate imaging and IV thrombolysis with rapid transfer to a thrombectomy-capable center if LVO is confirmed, because bypassing a closer hospital for a distant comprehensive center adds substantial delay and has not improved outcomes in randomized trials and guideline recommendations.",1.0,"CORRECT: The student recommends transport to the nearest primary stroke center with rapid transfer if needed, aligning with guidance that bypassing a closer hospital for a distant thrombectomy center does not improve outcomes. The rationale about delays and trial/guideline evidence is consistent with the reference."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of dizziness, diplopia, and nausea. On arrival, she is intermittently unresponsive. Neurologic examination reveals severe dysarthria and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?",Proceed emergently to endovascular thrombectomy (while administering IV thrombolysis if eligible without delaying EVT) because a proximal basilar artery occlusion within 4 hours with severe deficits and limited core/robust penumbra meets criteria where EVT within 24 hours improves outcomes and reduces mortality.,1.0,"CORRECT: The student recommends emergent endovascular thrombectomy within the 24-hour window for basilar artery occlusion with severe deficits and a small core, aligning with guidelines to improve outcomes and reduce mortality. Mentioning IV thrombolysis if eligible without delaying EVT is consistent with standard practice and does not contradict the reference."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of right-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Do not add adjunctive antithrombotic therapy during or shortly after IV thrombolysis and instead delay antiplatelet initiation until 24 hours with repeat imaging to exclude hemorrhage, because trials show no improvement in outcomes and increased hemorrhagic/mortality risk with concurrent agents such as IV aspirin or eptifibatide.",1.0,"CORRECT: The student states that adjunctive antithrombotic therapy with IV thrombolysis should not be used due to lack of benefit and bleeding risk, consistent with guidelines, and appropriately notes delaying antiplatelets until 24 hours post-imaging."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/dL and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","Manage his glucose to 140–180 mg/dL with insulin and close monitoring while avoiding hypoglycemia, and simply monitor and maintain SBP <180 mm Hg (DBP <105 mm Hg) without intensively lowering to <140 mm Hg, because persistent hyperglycemia is linked to worse outcomes but intensive 80–130 mg/dL control is not beneficial, and after reperfusion intensive BP reduction has not improved outcomes and may be harmful.",0.5,"PARTIALLY CORRECT: The glucose plan aligns with guidelines by avoiding tight 80–130 mg/dL control and targeting around 140–180 mg/dL. However, for blood pressure the student only states <180/105 and to avoid intensive lowering <140, omitting the recommended target range of SBP 140–180 mm Hg."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, M1 segment. How should this patient’s stroke be managed according to current guidelines?","Because this 12-year-old has disabling AIS within 4.5 hours and a left M1 large-vessel occlusion without hemorrhage, he should receive prompt weight-based IV alteplase (pediatric IVT may be considered and is safe though efficacy is uncertain) and be urgently taken to an experienced pediatric-capable center for endovascular thrombectomy, as timely reperfusion of anterior-circulation LVO within 6 hours improves outcomes.",0.5,"PARTIALLY CORRECT: The student correctly recommends endovascular thrombectomy at an experienced center for pediatric LVO. However, they inappropriately state that IV alteplase should be given to a 12-year-old, which is not routinely recommended in pediatric AIS and overstates the evidence compared with guideline caution."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"Deploy the mobile stroke unit, because MSUs are recommended over conventional EMS (Class 1) for suspected acute ischemic stroke as they enable faster imaging and thrombolysis, shorten onset-to-treatment times, and improve 90-day functional outcomes without added safety concerns.",1.0,"CORRECT: The student selects the mobile stroke unit and justifies it with faster imaging and thrombolysis leading to quicker treatment and better outcomes, which aligns with the reference stating MSUs are preferred when available."
